sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
2,10,0.05,0.0,0.02,0.02,1.0,SMM,,0.5
3,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
3,10,0.05,0.0,0.1,0.1,0.9,ACC,,0.5
3,10,0.05,0.0,0.03,0.03,1.0,X,,0.94
3,10,0.05,0.0,0.01,0.01,1.0,MAX,,0.94
3,10,0.05,0.0,0.0,0.0,1.0,T50,,0.94
3,10,0.05,0.0,0.07,0.07,0.9,MS,,0.5
3,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.94
3,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.94
3,10,0.05,0.0,0.08,0.08,0.9,SORD,,0.5
3,10,0.05,0.0,0.07,0.07,0.9,SMM,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
4,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
4,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
4,10,0.05,0.0,0.0,0.0,1.0,SMM,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
5,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
5,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
5,10,0.05,0.0,0.0,0.0,1.0,SMM,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
6,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
6,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
6,10,0.05,0.0,0.0,0.0,1.0,SMM,,0.5
7,10,0.05,0.0,0.2,0.2,0.8,CC,,0.5
7,10,0.05,0.0,0.22,0.22,0.8,ACC,,0.5
7,10,0.05,0.0,0.15,0.15,0.8,X,,0.5
7,10,0.05,0.0,0.13,0.13,0.9,MAX,,0.75
7,10,0.05,0.0,0.0,0.0,1.0,T50,,0.88
7,10,0.05,0.0,0.15,0.15,0.8,MS,,0.5
7,10,0.05,0.0,0.04,0.04,1.0,HDy,,0.88
7,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.88
7,10,0.05,0.0,0.16,0.16,0.8,SORD,,0.5
7,10,0.05,0.0,0.15,0.15,0.8,SMM,,0.5
8,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
8,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
8,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
8,10,0.05,0.0,0.01,0.01,1.0,MAX,,0.5
8,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
8,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
8,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
8,10,0.05,0.0,0.03,0.03,1.0,DyS,,0.5
8,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
8,10,0.05,0.0,0.03,0.03,1.0,SMM,,0.5
9,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
9,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
9,10,0.05,0.0,0.03,0.03,1.0,X,,0.5
9,10,0.05,0.0,0.01,0.01,1.0,MAX,,0.5
9,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
9,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
9,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
9,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.5
9,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
9,10,0.05,0.0,0.02,0.02,1.0,SMM,,0.5
10,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
10,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
10,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
10,10,0.05,0.0,0.01,0.01,1.0,MAX,,0.5
10,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
10,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
10,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.5
10,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.5
10,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
10,10,0.05,0.0,0.0,0.0,1.0,SMM,,0.5
1,10,0.1,0.1,0.0,0.1,0.9,CC,,0.5
1,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.5
1,10,0.1,0.1,0.15,0.05,0.7,X,,0.25
1,10,0.1,0.1,0.13,0.03,0.8,MAX,,0.28
1,10,0.1,0.1,0.0,0.1,0.9,T50,,0.5
1,10,0.1,0.1,0.0,0.1,0.9,MS,,0.5
1,10,0.1,0.1,0.03,0.07,0.9,HDy,,0.5
1,10,0.1,0.1,0.02,0.08,0.9,DyS,,0.5
1,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.5
1,10,0.1,0.1,0.05,0.05,0.8,SMM,,0.28
2,10,0.1,0.1,0.2,0.1,0.9,CC,0.67,0.5
2,10,0.1,0.1,0.22,0.12,0.9,ACC,0.67,0.5
2,10,0.1,0.1,0.15,0.05,0.9,X,0.67,0.5
2,10,0.1,0.1,0.13,0.03,0.8,MAX,,0.75
2,10,0.1,0.1,0.0,0.1,0.9,T50,,0.88
2,10,0.1,0.1,0.15,0.05,0.9,MS,0.67,0.5
2,10,0.1,0.1,0.03,0.07,0.9,HDy,,0.88
2,10,0.1,0.1,0.02,0.08,0.9,DyS,,0.88
2,10,0.1,0.1,0.16,0.06,0.9,SORD,0.67,0.5
2,10,0.1,0.1,0.15,0.05,0.8,SMM,,0.75
3,10,0.1,0.1,0.2,0.1,0.7,CC,,0.5
3,10,0.1,0.1,0.22,0.12,0.7,ACC,,0.5
3,10,0.1,0.1,0.38,0.28,0.7,X,0.4,0.12
3,10,0.1,0.1,0.36,0.26,0.7,MAX,0.4,0.12
3,10,0.1,0.1,0.21,0.11,0.7,T50,,0.5
3,10,0.1,0.1,0.23,0.13,0.7,MS,,0.5
3,10,0.1,0.1,0.25,0.15,0.7,HDy,,0.5
3,10,0.1,0.1,0.21,0.11,0.7,DyS,,0.5
3,10,0.1,0.1,0.23,0.13,0.7,SORD,,0.5
3,10,0.1,0.1,0.25,0.15,0.7,SMM,,0.5
4,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
4,10,0.1,0.1,0.1,0.0,1.0,ACC,1.0,0.5
4,10,0.1,0.1,0.15,0.05,0.9,X,0.67,0.12
4,10,0.1,0.1,0.13,0.03,1.0,MAX,1.0,0.5
4,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.12
4,10,0.1,0.1,0.1,0.0,1.0,MS,1.0,0.5
4,10,0.1,0.1,0.07,0.03,1.0,HDy,1.0,0.5
4,10,0.1,0.1,0.07,0.03,1.0,DyS,1.0,0.5
4,10,0.1,0.1,0.1,0.0,1.0,SORD,1.0,0.5
4,10,0.1,0.1,0.12,0.02,1.0,SMM,1.0,0.5
5,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
5,10,0.1,0.1,0.1,0.0,1.0,ACC,1.0,0.5
5,10,0.1,0.1,0.03,0.07,0.9,X,1.0,0.99
5,10,0.1,0.1,0.01,0.09,0.9,MAX,1.0,0.99
5,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.12
5,10,0.1,0.1,0.1,0.0,1.0,MS,1.0,0.5
5,10,0.1,0.1,0.11,0.01,1.0,HDy,1.0,0.5
5,10,0.1,0.1,0.14,0.04,1.0,DyS,1.0,0.5
5,10,0.1,0.1,0.09,0.01,1.0,SORD,1.0,0.5
5,10,0.1,0.1,0.11,0.01,1.0,SMM,1.0,0.5
6,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
6,10,0.1,0.1,0.1,0.0,1.0,ACC,1.0,0.5
6,10,0.1,0.1,0.38,0.28,0.7,X,0.4,0.12
6,10,0.1,0.1,0.36,0.26,0.7,MAX,0.4,0.12
6,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.38
6,10,0.1,0.1,0.17,0.07,0.9,MS,0.67,0.38
6,10,0.1,0.1,0.19,0.09,0.9,HDy,0.67,0.38
