,sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
79,8,10,0.0,0.0,0.0,0.0,1.0,SMM,,0.5
80,9,10,0.0,0.0,0.1,0.1,0.9,CC,,0.5
81,9,10,0.0,0.0,0.0,0.0,1.0,ACC,,0.75
82,9,10,0.0,0.0,0.0,0.0,1.0,X,,0.75
83,9,10,0.0,0.0,0.0,0.0,1.0,MAX,,0.75
84,9,10,0.0,0.0,0.0,0.0,1.0,T50,,0.75
85,9,10,0.0,0.0,0.0,0.0,1.0,MS,,0.75
86,9,10,0.0,0.0,0.02,0.02,1.0,HDy,,0.75
87,9,10,0.0,0.0,0.01,0.01,1.0,DyS,,0.75
88,9,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.75
89,9,10,0.0,0.0,0.02,0.02,1.0,SMM,,0.75
90,10,10,0.0,0.0,0.3,0.3,0.7,CC,,0.5
91,10,10,0.0,0.0,0.25,0.25,0.7,ACC,,0.5
92,10,10,0.0,0.0,0.24,0.24,0.8,X,,0.77
93,10,10,0.0,0.0,0.24,0.24,0.8,MAX,,0.77
94,10,10,0.0,0.0,0.21,0.21,0.8,T50,,0.77
95,10,10,0.0,0.0,0.23,0.23,0.8,MS,,0.77
96,10,10,0.0,0.0,0.13,0.13,0.9,HDy,,0.88
97,10,10,0.0,0.0,0.15,0.15,0.9,DyS,,0.88
98,10,10,0.0,0.0,0.0,0.0,1.0,SORD,,0.98
99,10,10,0.0,0.0,0.27,0.27,0.7,SMM,,0.5
100,1,10,0.05,0.0,0.2,0.2,0.8,CC,,0.5
101,1,10,0.05,0.0,0.12,0.12,0.9,ACC,,0.88
102,1,10,0.05,0.0,0.11,0.11,0.9,X,,0.88
103,1,10,0.05,0.0,0.11,0.11,0.9,MAX,,0.88
104,1,10,0.05,0.0,0.0,0.0,1.0,T50,,0.97
105,1,10,0.05,0.0,0.12,0.12,0.9,MS,,0.88
106,1,10,0.05,0.0,0.03,0.03,1.0,HDy,,0.97
107,1,10,0.05,0.0,0.04,0.04,1.0,DyS,,0.97
108,1,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.97
109,1,10,0.05,0.0,0.17,0.17,0.8,SMM,,0.5
110,2,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
111,2,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.88
112,2,10,0.05,0.0,0.0,0.0,1.0,X,,0.88
113,2,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.88
114,2,10,0.05,0.0,0.0,0.0,1.0,T50,,0.88
115,2,10,0.05,0.0,0.0,0.0,1.0,MS,,0.88
116,2,10,0.05,0.0,0.02,0.02,1.0,HDy,,0.88
117,2,10,0.05,0.0,0.01,0.01,1.0,DyS,,0.88
118,2,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.88
119,2,10,0.05,0.0,0.08,0.08,0.9,SMM,,0.5
120,3,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
121,3,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.75
122,3,10,0.05,0.0,0.0,0.0,1.0,X,,0.75
123,3,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.75
124,3,10,0.05,0.0,0.0,0.0,1.0,T50,,0.75
125,3,10,0.05,0.0,0.0,0.0,1.0,MS,,0.75
126,3,10,0.05,0.0,0.01,0.01,1.0,HDy,,0.75
127,3,10,0.05,0.0,0.01,0.01,1.0,DyS,,0.75
128,3,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.75
129,3,10,0.05,0.0,0.05,0.05,0.9,SMM,,0.5
130,4,10,0.05,0.0,0.2,0.2,0.8,CC,,0.5
131,4,10,0.05,0.0,0.12,0.12,0.9,ACC,,0.75
132,4,10,0.05,0.0,0.24,0.24,0.8,X,,0.5
133,4,10,0.05,0.0,0.24,0.24,0.8,MAX,,0.5
134,4,10,0.05,0.0,0.0,0.0,1.0,T50,,0.88
135,4,10,0.05,0.0,0.07,0.07,0.9,MS,,0.75
136,4,10,0.05,0.0,0.04,0.04,1.0,HDy,,0.88
137,4,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.88
138,4,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.88
139,4,10,0.05,0.0,0.16,0.16,0.8,SMM,,0.5
140,5,10,0.05,0.0,0.2,0.2,0.8,CC,,0.5
141,5,10,0.05,0.0,0.12,0.12,0.9,ACC,,0.75
142,5,10,0.05,0.0,0.37,0.37,0.6,X,,0.25
143,5,10,0.05,0.0,0.37,0.37,0.6,MAX,,0.25
144,5,10,0.05,0.0,0.0,0.0,1.0,T50,,0.94
145,5,10,0.05,0.0,0.18,0.18,0.8,MS,,0.5
146,5,10,0.05,0.0,0.05,0.05,0.9,HDy,,0.75
147,5,10,0.05,0.0,0.04,0.04,1.0,DyS,,0.94
148,5,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.94
149,5,10,0.05,0.0,0.27,0.27,0.7,SMM,,0.43
150,6,10,0.05,0.0,0.0,0.0,1.0,CC,,0.5
151,6,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.5
152,6,10,0.05,0.0,0.0,0.0,1.0,X,,0.5
153,6,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.5
154,6,10,0.05,0.0,0.0,0.0,1.0,T50,,0.5
155,6,10,0.05,0.0,0.0,0.0,1.0,MS,,0.5
156,6,10,0.05,0.0,0.01,0.01,1.0,HDy,,0.5
157,6,10,0.05,0.0,0.01,0.01,1.0,DyS,,0.5
158,6,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.5
159,6,10,0.05,0.0,0.04,0.04,1.0,SMM,,0.5
160,7,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
161,7,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.75
162,7,10,0.05,0.0,0.0,0.0,1.0,X,,0.75
163,7,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.75
164,7,10,0.05,0.0,0.0,0.0,1.0,T50,,0.75
165,7,10,0.05,0.0,0.0,0.0,1.0,MS,,0.75
166,7,10,0.05,0.0,0.02,0.02,1.0,HDy,,0.75
