sample,Test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier
2,10,0.05,0.0,0.15,0.15,0.8,SMM
3,10,0.05,0.0,0.2,0.2,0.8,CC
3,10,0.05,0.0,0.1,0.1,0.9,ACC
3,10,0.05,0.0,0.22,0.22,0.7,PCC
3,10,0.05,0.0,0.12,0.12,0.9,PACC
3,10,0.05,0.0,0.02,0.02,0.9,X
3,10,0.05,0.0,0.01,0.01,0.9,MAX
3,10,0.05,0.0,0.07,0.07,0.9,HDy
3,10,0.05,0.0,0.04,0.04,0.9,DyS
3,10,0.05,0.0,0.12,0.12,0.9,SMM
4,10,0.05,0.0,0.2,0.2,0.8,CC
4,10,0.05,0.0,0.1,0.1,0.9,ACC
4,10,0.05,0.0,0.23,0.23,0.7,PCC
4,10,0.05,0.0,0.13,0.13,0.9,PACC
4,10,0.05,0.0,0.14,0.14,0.9,X
4,10,0.05,0.0,0.13,0.13,0.9,MAX
4,10,0.05,0.0,0.2,0.2,0.8,T50
4,10,0.05,0.0,0.08,0.08,1.0,MS
4,10,0.05,0.0,0.15,0.15,0.9,HDy
4,10,0.05,0.0,0.15,0.15,0.9,DyS
4,10,0.05,0.0,0.09,0.09,1.0,SORD
4,10,0.05,0.0,0.13,0.13,0.9,SMM
5,10,0.05,0.0,0.1,0.1,0.9,CC
5,10,0.05,0.0,0.17,0.17,0.8,PCC
5,10,0.05,0.0,0.06,0.06,1.0,PACC
5,10,0.05,0.0,0.01,0.01,1.0,MAX
5,10,0.05,0.0,0.05,0.05,1.0,HDy
5,10,0.05,0.0,0.03,0.03,1.0,DyS
5,10,0.05,0.0,0.05,0.05,1.0,SMM
6,10,0.05,0.0,0.2,0.2,0.8,CC
6,10,0.05,0.0,0.1,0.1,0.9,ACC
6,10,0.05,0.0,0.28,0.28,0.8,PCC
6,10,0.05,0.0,0.19,0.19,0.8,PACC
6,10,0.05,0.0,0.02,0.02,0.9,X
6,10,0.05,0.0,0.01,0.01,0.9,MAX
6,10,0.05,0.0,0.09,0.09,0.9,HDy
6,10,0.05,0.0,0.05,0.05,0.9,DyS
6,10,0.05,0.0,0.19,0.19,0.8,SMM
7,10,0.05,0.0,0.1,0.1,0.9,CC
7,10,0.05,0.0,0.18,0.18,0.8,PCC
7,10,0.05,0.0,0.07,0.07,1.0,PACC
7,10,0.05,0.0,0.02,0.02,1.0,X
7,10,0.05,0.0,0.01,0.01,1.0,MAX
