score,class
0.021489482,0
0.011908865,0
0.0034163103,0
0.006119244,0
0.027911225,0
0.05903739,0
0.002852603,0
0.010493103,0
0.008996983,0
0.10718468,0
0.010400395,0
0.023201475,0
0.4489426,0
0.0041799517,0
0.043392528,0
0.005451889,0
0.009782686,0
0.08282895,0
0.030637836,0
0.0076814387,0
0.0062094303,0
0.009686172,0
0.01783825,0
0.08138968,0
0.0068765148,0
0.0048710615,0
0.16117924,0
0.15669292,0
0.49411592,0
0.3680023,0
0.0656037,0
0.016598277,0
0.0061368486,0
0.035695504,0
0.10668925,0
0.006014246,0
0.023457754,0
0.11385448,0
0.004857155,0
0.022564892,0
0.0026611702,0
0.037419464,0
0.10456392,0
0.1232037,0
0.013650454,0
0.0035755935,0
0.0024318115,0
0.01567718,0
0.010624098,0
0.006922084,0
0.0960932,0
0.007325909,0
0.180889,0
0.0062303618,0
0.22566013,0
0.048331365,0
0.006096762,0
0.019031055,0
0.1437589,0
0.03802878,0
0.024038756,0
0.005790844,0
0.069142856,0
0.01966582,0
0.016959013,0
0.14172265,0
0.2460875,0
0.0035460375,0
0.0068975845,0
0.0051521226,0
0.11166095,0
0.009255468,0
0.014008222,0
0.01488726,0
0.048068896,0
0.002581408,0
0.0023383887,0
0.052466277,0
0.003924336,0
0.008609197,0
0.04989201,0
0.0020759217,0
0.01752029,0
0.05422054,0
0.013878212,0
0.0656037,0
0.00894334,0
0.014538004,0
0.0030843178,0
0.045763347,0
0.003661708,0
0.8278259,0
0.0024033927,0
0.013204682,0
0.004733286,0
0.012079777,0
0.0037784127,0
0.028345102,0
0.15669292,0
0.039660193,0
0.036956638,0
0.007383131,0
0.0025057697,0
0.005081711,0
0.03901993,0
0.003909596,0
0.007392781,0
0.012248867,0
0.18067276,0
0.011454467,0
0.023228766,0
0.009758004,0
0.20922849,0
0.27586773,0
0.15222356,0
0.014701331,0
0.0021085837,0
0.0026575509,0
0.0026142674,0
0.051112298,0
0.06668757,0
0.1308937,0
0.0028976446,0
0.43258893,0
0.0052317996,0
0.0017883497,0
0.6391981,0
0.03332515,0
0.023409458,0
0.06821181,0
0.04184804,0
0.003320567,0
0.0023725943,0
0.12982054,0
0.039671633,0
0.009128249,0
0.05639783,0
0.6575717,0
0.007241209,0
0.004211302,0
0.010276611,0
0.022679629,0
0.0045742937,0
0.0066503934,0
0.2734159,0
0.050195523,0
0.016996706,0
0.0024515004,0
0.1788671,0
0.0036615701,0
0.0040946193,0
0.01698794,0
0.0047437493,0
0.015307522,0
0.005123112,0
0.010866676,0
0.0068606725,0
0.002228195,0
0.67515206,0
0.040150546,0
0.0325571,0
0.0033566558,0
0.00973633,0
0.01943776,0
0.023587406,0
0.017073836,0
0.16238186,0
0.009747127,0
0.035302777,0
0.036520213,0
0.07730707,0
0.0711632,0
0.10823035,0
0.022386378,0
0.08022842,0
0.012082842,0
0.030787904,0
0.0030876729,0
0.032428943,0
0.0036351348,0
0.03706505,0
0.10871031,0
0.022698294,0
0.004204984,0
0.008954096,0
0.018129947,0
0.044024434,0
0.009112378,0
0.008585912,0
0.07346966,0
0.0062263906,0
0.0076203295,0
0.012535267,0
0.0031276564,0
0.0047327015,0
0.38604513,0
0.0032243317,0
0.0029347443,0
0.005825991,0
0.00586505,0
0.04877025,0
0.0022458641,0
0.0046645976,0
0.012466726,0
0.022255637,0
0.33566862,0
0.002802136,0
0.07365921,0
0.019147597,0
0.019612286,0
0.007831936,0
0.020710606,0
0.01074293,0
0.03004899,0
0.014533084,0
0.007639057,0
0.005381544,0
0.004953108,0
0.021232586,0
0.013300785,0
0.10939614,0
0.012057129,0
0.00668149,0
0.0125477575,0
0.010922232,0
0.04667716,0
0.24872878,0
0.009269643,0
0.012564745,0
0.0075269807,0
0.12565659,0
0.051269334,0
0.00905789,0
0.050448895,0
0.6880747,0
0.02670866,0
0.15478788,0
0.01826998,0
0.05442969,0
0.017768346,0
0.119643934,0
0.008484686,0
0.002649274,0
0.021706652,0
0.06579777,0
0.07244236,0
0.0044129,0
0.007952208,0
0.011529679,0
0.109002836,0
0.053093452,0
0.016611887,0
0.36311874,0
0.002277256,0
0.0023546289,0
0.008156136,0
0.0024646097,0
0.014659225,0
0.13633867,0
0.018133946,0
0.018483263,0
0.12565659,0
0.0032465793,0
0.23971781,0
0.0029047364,0
0.029275296,0
0.2101417,0
0.0062094303,0
0.045795284,0
0.010171034,0
0.08899109,0
0.08319085,0
0.42179286,0
0.7826685,0
0.003385386,0
0.03894607,0
0.031267136,0
0.0071540773,0
0.08867411,0
0.004396843,0
0.0050780186,0
0.023848098,0
0.011626671,0
0.0066107907,0
0.017376183,0
0.07815509,0
0.002405823,0
0.05442969,0
0.008923617,0
0.005104469,0
0.009454452,0
0.0076702368,0
0.0053327605,0
0.02277517,0
0.08225956,0
0.010323087,0
0.5087398,0
0.93842185,0
0.12961023,0
0.022721667,0
0.40372103,0
0.0038043743,0
0.010507346,0
0.006164233,0
0.049270622,0
0.48641557,0
0.008985289,0
0.0072227702,0
0.014177716,0
0.0035427844,0
0.0050401064,0
0.01974636,0
0.004475334,0
0.017198011,0
0.012985827,0
0.07298861,0
0.1089095,0
0.25410482,0
0.0080764,0
0.005487676,0
0.024042612,0
0.010072603,0
0.0054681012,0
0.007971419,0
0.021350013,0
0.006960649,0
0.011134237,0
0.08829645,0
0.054930437,0
0.010692439,0
0.016020369,0
0.003948905,0
0.007916616,0
0.33137512,0
0.0039495174,0
0.01919598,0
0.008417497,0
0.5976996,0
0.0165343,0
0.327361,0
0.009686797,0
0.052364375,0
0.0054409886,0
0.011723708,0
0.021671798,0
0.49278176,0
0.16097993,0
0.35616183,0
0.004592387,0
0.012790182,0
0.0020759217,0
0.021862,0
0.15556872,0
0.009084019,0
0.002746037,0
